credit_model,instrument,initial_price,fair_price,fair_to_par,mean_ann_return,median_ann_return,prob_negative_return,risk_mean,risk_std,risk_skew,risk_sharpe,risk_sortino,risk_omega,risk_var_95,risk_var_99,risk_es_95,risk_es_99,risk_max_drawdown,risk_calmar,risk_mean_total_return,risk_prob_capital_loss,risk_pv_floored_paths,fair_price_lo,fair_price_hi,fair_price_ci_width,insurance,premium_weight,scenario,n_paths
student_t_copula,senior,12600000.0,11759663.591927046,0.9333066342799243,-0.006923739845865138,-0.005938448954436848,1.0,-0.006923739845865138,0.003228162849328382,-4.687540469492216,-13.702133511599603,-0.9973475066424615,0.0,0.012746553614727022,0.023568575061482005,0.019087970927905307,0.028395859551875045,0.0,,-0.06669336572007563,1.0,0.0,11756675.143710235,11762785.873785084,6110.73007484898,actuarial,0.0019412732763230743,paris_intermediate,50000
cox_intensity,model_a,450000.0,380717.37658803404,0.8460386146400757,-0.017658309643220304,-0.017391790394841733,0.87462,-0.017658309643220304,0.015374467203365185,-0.0636466358985133,-3.575232066839177,-0.9630397573720714,0.0493792312808587,0.04326350547580784,0.053997487766087544,0.04987169154755658,0.059412096950795655,67109.78979185449,-2.6312568848730915e-07,-0.15396138535992435,0.87462,0.0,380163.4210664258,381219.09996585204,1055.678899426246,actuarial,0.0,paris_intermediate,50000
cox_intensity,model_b,450000.0,369916.63577202166,0.8220369683822704,-0.02042003402563533,-0.02031815041257351,0.91534,-0.02042003402563533,0.014877175524525152,-0.03507262648088938,-3.880374500071381,-0.9683617262126153,0.02666399809605194,0.04511736298455314,0.055264931995615746,0.05136938562198419,0.060342712281023295,54092.164453068704,-3.7750447282160624e-07,-0.1779630316177296,0.91534,0.0,369386.42099429236,370395.3190581463,1008.8980638539651,actuarial,0.0,paris_intermediate,50000
cox_intensity,equity,7875000.0,9464234.546275703,1.2018075614318353,0.009111189648215846,0.016003917939304002,0.35446,0.009111189648215846,0.05737479341669878,-6.339774192954394,-0.49146649923092234,-0.45244098024218576,1.6254789955617392,0.07241050347950813,0.13792440478906542,0.1322737375748062,0.2827896465701323,3735009.3916941592,2.4394020717798276e-09,0.2018075614318353,0.35446,64.0,9430306.597767139,9499350.183060706,69043.58529356681,actuarial,0.5050717548148275,paris_intermediate,50000
cox_intensity,mezzanine,11025000.0,5131445.595807414,0.4654372422501055,-0.07368848567858355,-0.07420762159004612,1.0,-0.07368848567858355,0.0035541030708718933,0.9562289995805056,-31.230794937011154,-0.9994877741923716,0.0,0.07849628252029694,0.07972195763866607,0.07923477992239165,0.08019024395823084,3038977.0183317997,-2.4247793002078616e-08,-0.5345627577498944,1.0,0.0,5129682.4496294465,5133218.218727819,3535.7690983721986,actuarial,0.49386806353893925,paris_intermediate,50000
cox_intensity,senior,12600000.0,11298484.361958403,0.8967051080919367,-0.010874028492326424,-0.010672031371646129,1.0,-0.010874028492326424,0.0025900663587807393,-0.4291770832088991,-18.603000977869346,-0.9985583648303031,0.0,0.015474141711256939,0.0175196301109221,0.016722991091760304,0.018480837500479873,0.0,,-0.10329489190806339,1.0,0.0,11295816.584336367,11300983.671610372,5167.087274005637,actuarial,0.0010601816462332647,paris_intermediate,50000
gaussian_copula,model_a,450000.0,435963.52892020607,0.9688078420449023,-0.004112016171093826,-0.0038482744017263038,0.60598,-0.004112016171093826,0.014515758979349381,-0.07418507630476782,-2.8535190438776867,-0.9437453744686605,0.48857089864180986,0.02821116240087636,0.038865407955014246,0.03470189949629577,0.04424720572670898,1.033542368482727,-0.003978565655833148,-0.03119215795509752,0.60598,0.0,435425.42620057653,436498.6587588473,1073.2325582707417,option_theoretic,0.0,paris_intermediate,50000
gaussian_copula,model_b,450000.0,433831.55134669004,0.9640701141037556,-0.004543908237871236,-0.004441120272508814,0.6275,-0.004543908237871236,0.01405645198603105,-0.018069404428661093,-2.977485840116819,-0.9479784564673087,0.4427553939991778,0.02774922435709644,0.03751668132295537,0.03365826888389074,0.04246320038240903,0.0,,-0.03592988589624441,0.6275,0.0,433295.644421648,434343.3445060895,1047.700084441516,option_theoretic,0.0,paris_intermediate,50000
gaussian_copula,equity,7875000.0,9787638.549674133,1.2428747364665564,0.012739094211516597,0.019488459636702316,0.32738,0.012739094211516597,0.05597632495909373,-6.036457115397494,-0.438933501248192,-0.415970368351102,1.967795619584057,0.06938998142817913,0.1327759748244781,0.12596833717241535,0.2650286985612021,4332489.073763994,2.9403638404214337e-09,0.24287473646655658,0.32738,55.0,9753625.627571484,9820743.454010738,67117.82643925399,option_theoretic,0.8377031582746898,paris_intermediate,50000
gaussian_copula,mezzanine,11025000.0,8753125.199232597,0.7939342584337956,-0.023149471761366086,-0.022291797721673445,0.99942,-0.023149471761366086,0.00859445443242533,-0.2277341532853808,-7.034588495354095,-0.9900468147385435,3.048444987251871e-05,0.03846466119589778,0.04178992689490891,0.040504589465175767,0.04270354958407381,0.0,,-0.2060657415662043,0.99942,0.0,8746899.682111451,8759858.98180228,12959.299690827727,option_theoretic,0.16172164756525173,paris_intermediate,50000
